id,rikishi,matches,wins,losses,pct,top_rank,favored_kimarite,alt_shikona2,alt_shikona3
12362,Ichiyamamoto,193,90,103,0.47,Maegashira8,oshidashi,,
12449,Kotoshoho,197,90,107,0.46,Maegashira3,oshidashi,Kototebakari,
4118,Amanoyama,204,89,115,0.44,Maegashira8,oshidashi,,
929,Kirinowaka,202,89,113,0.44,Juryo4,yorikiri,,
1329,Daigaku,171,88,83,0.51,Juryo2,yorikiri,,
1417,Ichinowatari,178,86,92,0.48,Juryo5,yorikiri,,
6769,Yamamotoyama,175,85,90,0.49,Maegashira9,yorikiri,,
82,Tochitenko,186,83,103,0.45,Juryo4,yorikiri,,
68,Gokenzan,191,82,109,0.43,Juryo6,yorikiri,Goto,
65,Dewataira,171,82,89,0.48,Juryo4,yorikiri,,
2930,Tokusegawa,154,82,72,0.53,Maegashira4,yorikiri,,
130,Kaido,175,81,94,0.46,Juryo4,yorikiri,Tanaka,Kaito
124,Sumiya,174,80,94,0.46,Juryo5,oshidashi,Saigo,
1366,Takanomine,171,79,92,0.46,Maegashira12,yorikiri,,
1327,Yoshinobori,186,79,107,0.42,Juryo4,oshidashi,,
74,Kotokanyu,188,78,110,0.41,Juryo7,oshidashi,,
4132,Wakanofuji,154,77,77,0.5,Maegashira3,yorikiri,,
4141,Nankairyu,137,75,62,0.55,Maegashira2,oshidashi,,
6527,Wakanoho,140,75,65,0.54,Maegashira1,yorikiri,,
12352,Midorifuji,152,74,78,0.49,Maegashira1,katasukashi,,
4077,Fujizakura,165,70,95,0.42,Maegashira1,oshidashi,,
174,Mutsuhokkai,154,70,84,0.45,Juryo6,yorikiri,,
6042,Masuraumi,156,70,86,0.45,Juryo5,oshidashi,Kurosawa,
1291,Sunahama,140,69,71,0.49,Juryo5,yorikiri,,
4080,Kitanoumi,102,67,35,0.66,Yokozuna,yorikiri,,
12453,Oho,136,67,69,0.49,Maegashira6,oshidashi,,
4319,Harunafuji,139,63,76,0.45,Juryo2,yorikiri,,
168,Hokutoiwa,146,62,84,0.42,Juryo10,oshidashi,,
2831,Hoshikaze,126,62,64,0.49,Juryo3,uwatenage,,
167,Tamamitsukuni,147,59,88,0.4,Juryo7,yorikiri,Tamanokuni,
6600,Tochihiryu,152,59,93,0.39,Juryo7,oshidashi,,
9077,Kizenryu,152,59,93,0.39,Juryo11,uwatenage,,
12427,Tomokaze,94,58,36,0.62,Maegashira3,hatakikomi,,
4122,Kurosegawa,127,57,70,0.45,Maegashira14,yorikiri,,
1349,Kotohakusan,126,57,69,0.45,Juryo4,yorikiri,,
1324,Terunoumi,128,57,71,0.45,Maegashira15,yorikiri,Hayashi,Daikiko
7125,Tanzo,123,57,66,0.46,Juryo6,yorikiri,Terashita,
199,Kuniazuma,107,54,53,0.5,Juryo4,kotenage,,
2835,Shironoryu,133,53,80,0.4,Juryo1,oshidashi,,
12255,Chiyonoumi,120,53,67,0.44,Juryo8,oshidashi,,
